Pond,Name0,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Name9,Name10,Name11,Name12,Name13,Name14,Name15,Name16,Name17,Name18,Name19,Name20,Name21,Name22,Name23,Name24,Name25,Name26,Name27,Name28,Name29,Name30,Name31,Name32,Name33
AW,AW,Atwood,Atwood,ATWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10,A10,A10,A10,A021800-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA006,AA006,AA006,AA006,AA0119010006,AA006 ,AA 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,BS,Blacksmith,Blacksmith,YM-60,YM60,BLACKSMITH,BLKSMT,BS ,Blacksmith ,,,,,,,,,,,,,,,,,,,,,,,,,
BP1,BP1,Borrow Pit 1,BRPIT1,BURRPIT1,BorrowPit 1,Borrow Pit1,Bpit1,BPit1,BRPIT 1,BURRPIT 1,BorrowPit  1,Borrow Pit 1,Bpit 1,BPit 1,BorrowPit1,BurrowPit1,Borrowpit 1,,,,,,,,,,,,,,,,,
BP2,BP2,Borrow Pit 2,BRPIT2,BURRPIT2,BorrowPit 2,Borrow Pit2,Bpit2,BPit2,BRPIT 2,BURRPIT 2,BorrowPit  2,Borrow Pit 2,Bpit 2,BPit 2,BorrowPit2,BURROWPIT 2,BurrowPit2,Borrowpit 2,,,,,,,,,,,,,,,,
BP3,BP3,Borror Pit 3,BRPIT3,BURRPIT3,BorrowPit 3,Borrow Pit3,Bpit3,BPit3,BRPIT 3,BURRPIT 3,BorrowPit  3,Borrow Pit 3,Bpit 3,BPit 3,BorrowPit3,BurrowPit3,Borrowpit 3,,,,,,,,,,,,,,,,,
BO,BO,Boulder,Boulder,BOULDER,boulder,BLDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,C3,C3,C3 ,C020400-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6,C6,C6,C6 ,C020400-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7,C7,C7,C7 ,C-10,C10,C020400-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,CP,Center Pike,CENTPIKE,CenterPike,Center Pike,Centerpike,Center pike,CentPike,CENTER PIKE,Center Pike Marsh,,,,,,,,,,,,,,,,,,,,,,,,
CPN,CPN,Center Pike North,CENTPIKENorth,CenterPikeNorth,Center PikeNorth,CenterpikeNorth,Center pikeNorth,CentPikeNorth,CPNorth,CENTPIKE North,CenterPike North,Center Pike North,Centerpike North,Center pike North,CentPike North,CP North,CENTPIKEN,CenterPikeN,Center PikeN,CenterpikeN,Center pikeN,CentPikeN,CPN,CENTPIKE N,CenterPike N,Center Pike N,Centerpike N,Center pike N,CentPike N,CP N,CtrPkN,CENTER PIKE N,CENTERPIKE N,CentrePikeN
CPS,CPS,Center Pike South,CENTPIKESouth,CenterPikeSouth,Center PikeSouth,CenterpikeSouth,Center pikeSouth,CentPikeSouth,CPSouth,CENTPIKE South,CenterPike South,Center Pike South,Centerpike South,Center pike South,CentPike South,CP South,CENTPIKES,CenterPikeS,Center PikeS,CenterpikeS,Center pikeS,CentPikeS,CPS,CENTPIKE S,CenterPike S,Center Pike S,Centerpike S,Center pike S,CentPike S,CP S,CtrPkS,CENTER PIKE S,CENTERPIKE S,CentrePikeS
CC,CC,Clearcut,Clearcut,ClearCut,Clear Cut,clear cut,Clear cut,CLR CUT,CLRCUT,,,,,,,,,,,,,,,,,,,,,,,,,
D1,D1,D1,D1,D-03,D03,C-09,C09,D012800-001,,,,,,,,,,,,,,,,,,,,,,,,,,
D5,D5,D5,D5,D012800-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D6,D6,D6,D6,E-04,E04,D020400-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,DE,Dentist,Dentist,DENTIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR,DR,DR,Drainage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,E1,E1,E1,Jen's Pond,Jen,Jens,Jen's,E021100-001,YM-18,YM18,YM18,YM18,YM-18,Jen's,Jen,,,,,,,,,,,,,,,,,,,
E8,E8,E8,E8,E021100-008,YM-62,YM62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,F1,F1,F1,F021100-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4,F4,F4,F4,F021100-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE,FE,Fence,Fence,Fence S,Fence (S),FENCE,YM-63,YM63,FENCE (S),,,,,,,,,,,,,,,,,,,,,,,,,
FHB,FHB,FHB,French House Beaver Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHE,FHE,French House East,French House East,YM-64,YM64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,G1,G1,G1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,GB,Greenbriar,Greenbriar,GRNBR,GREENBRIAR,GREENBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KE,KE,Kealoha,Kealoha's,YM-65,YM65,Kea,Kea's,Kealoha,KEALOHA,KELOHA,KEALOHA'S,KEALOHAS,,,,,,,,,,,,,,,,,,,,,,
LA,LA,Laurel,Laurel,YM-66,YM66,LAUREL,Laurel ,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT,LT,Little Thing,Little Thing,LTLTNG,LittleThing,LTHING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,MI,Mill,Mill,MILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAT,NAT,Nathaniel,Nathaniel's,Nathaniel,Nathaniel's Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PW,PW,Pussy Willow,Pussy Willow,PWILLOW,PSYWLW,Pussywillow,PussyWillow,PUSSYWILLOW,,,,,,,,,,,,,,,,,,,,,,,,,,
QU,QU,Quarry,Quarry,QRY,QUARRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3,S3,S3,S3,S2-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,S4,S4,S4,S2-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1,T1,T1,T1,T031300-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2,T2,T2,T2,Cat's,V-06,T031300-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T5,T5,T5,T5,T031300-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V2,V2,V2,V2,Maple Clump,V031000-002,YM-67,YM67,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1,W1,W1,W1,Creepy Hollow,Creepy,CRPY,CRPYW1,Creepy ,creepy,,,,,,,,,,,,,,,,,,,,,,,,,
W4,W4,W4,W4,W030300-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF,WF,Westford,Westford,WESTFORD,YM-68,YM68,WSTFRD,Wford,,,,,,,,,,,,,,,,,,,,,,,,,,
WP,WP,Woodpile,Woodpile,WOODPILE,WOODPL,Woodpile ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X2,X2,X2,X2,X030300-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X7,X7,X7,X7,Erica's,Erica,YM-57,YM57,X030300-007,,,,,,,,,,,,,,,,,,,,,,,,,,
X8,X8,X8,X8,Esther's,Esther,X030300-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X9,X9,X9,X9,Ginna's,Ginna,X030300-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y3,Y3,Y3,Y3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y6,Y6,Y6,Y6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM01,YM01,YM01,YM-01,North Myers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,DT,Dead Turkey,YM-02,Dead Turkey,DEAD TURK,DEADTURK,DeadTurkey,DEAD TURKEY,deadturkey,,,,,,,,,,,,,,,,,,,,,,,,,
YM03,YM03,YM03,YM-03,Morse Meadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB,PB,Pretty Beaver,YM-04,Pretty Beaver,PRBEAV,PBP,PR BEAV,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM05,YM05,YM05,YM-05,Morse Reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP,LAP,Laurel Path,YM-08,Laurel Path,LRL PATH,LAUREL PATH,LaurelPath,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP,LP,Long Pond,YM-09,Long Pond,LONG,Long,LongPond,LO,,,,,,,,,,,,,,,,,,,,,,,,,,
3WS,3WS,Three Way Sedge,YM-14,Three Way Sedge,Three-way sedge,Three-way Sedge,Three-way,3-way,3-way Sedge,3-waySedge,3 way,3 way sedge,3 Way Sedge,3WAY,3WAY SED,YM-61,YM-14 ,3 WAY SEDGE,3 Way,3 Way Sedge ,3WaySedge,,,,,,,,,,,,,
SS,SS,Salt Shed,YM-21,Salt Shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM,WM,Walker Mountain,YM-24,Walker Mountain,WALKER MTN,Walker,WALKER,WMR,WALKER MT,Walker Mtn,,,,,,,,,,,,,,,,,,,,,,,,
PH,PH,Phragmites,YM-26,Phragmites,PHRAG,Phrag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM27,YM27,YM27,YM-27,Bunkhouse Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM30,YM30,YM30,YM-30,Little Bigelow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,SH,Shrub,YM-32,Shrub,SHRUB,SHRUB (N),,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB,MB,Morse Bog,YM-33,Morse Bog,MORSEBOG,Morse,MORSE,MorseBog,MSBOG,Morsebog,MprseBog,,,,,,,,,,,,,,,,,,,,,,,
SD,SD,Saddle,YM-47,Saddle,SADDLE,Saddle ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM48,YM48,YM48,YM-48,South Myers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM54,YM54,YM54,YM-54,Underground Stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z3,Z3,Z3,Z3,Z022100-003,Y8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z5,Z5,Z5,Z5,Z022100-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FU,FU,FU22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAC,AAC,ANDY ACRES,Andy Acres,Andy's Acres,Andys Acres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,